INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:04:31
CRITICAL | server.py -> listen | server failed with error: [Errno 48] Address already in use |2019-12-13 22:04:31
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:06:04
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:06:07
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:06:07
INFO     | server.py -> accept | new client joined: 49863 |2019-12-13 22:06:07
INFO     | tracker.py -> handle_connection | client connected: 49863 |2019-12-13 22:06:07
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:06:07
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:06:07
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:06:07
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:06:07
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:06:07
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:06:46
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:06:49
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:06:49
INFO     | server.py -> accept | new client joined: 49865 |2019-12-13 22:06:49
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:06:49
INFO     | tracker.py -> handle_connection | client connected: 49865 |2019-12-13 22:06:49
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:06:49
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:06:49
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:06:49
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:06:49
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:07:22
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:07:24
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:07:24
INFO     | server.py -> accept | new client joined: 49869 |2019-12-13 22:07:24
INFO     | tracker.py -> handle_connection | client connected: 49869 |2019-12-13 22:07:24
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:07:24
INFO     | server.py -> receive | received data: {'resource_id': 'P2P.pdf'} |2019-12-13 22:07:24
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:07:24
FATAL    | client.py -> receive | an exception occured and receive is returning empty data!!! |2019-12-13 22:07:24
FATAL    | peer.py -> connect_to_tracker |  data from tracker: None |2019-12-13 22:07:24
INFO     | server.py -> listen | Listening On 127.0.0.1:13000 |2019-12-13 22:09:24
INFO     | server.py -> listen | Listening On 127.0.0.1:5000 |2019-12-13 22:09:27
INFO     | client.py -> connect | connected to host: 127.0.0.1:13000 |2019-12-13 22:09:27
INFO     | server.py -> accept | new client joined: 49874 |2019-12-13 22:09:27
INFO     | client.py -> send | data sent{'resource_id': 'P2P.pdf'} |2019-12-13 22:09:27
INFO     | tracker.py -> handle_connection | client connected: 49874 |2019-12-13 22:09:27
CRITICAL | client.py ->  | receive[Errno 57] Socket is not connected |2019-12-13 22:09:27
